Date,Price
4/5/93,1.068
4/6/93,1.068
4/7/93,1.068
4/8/93,1.068
4/9/93,1.068
4/10/93,1.068
4/11/93,1.068
4/12/93,1.079
4/13/93,1.079
4/14/93,1.079
4/15/93,1.079
4/16/93,1.079
4/17/93,1.079
4/18/93,1.079
4/19/93,1.079
4/20/93,1.079
4/21/93,1.079
4/22/93,1.079
4/23/93,1.079
4/24/93,1.079
4/25/93,1.079
4/26/93,1.086
4/27/93,1.086
4/28/93,1.086
4/29/93,1.086
4/30/93,1.086
5/1/93,1.086
5/2/93,1.086
5/3/93,1.086
5/4/93,1.086
5/5/93,1.086
5/6/93,1.086
5/7/93,1.086
5/8/93,1.086
5/9/93,1.086
5/10/93,1.097
5/11/93,1.097
5/12/93,1.097
5/13/93,1.097
5/14/93,1.097
5/15/93,1.097
5/16/93,1.097
5/17/93,1.106
5/18/93,1.106
5/19/93,1.106
5/20/93,1.106
5/21/93,1.106
5/22/93,1.106
5/23/93,1.106
5/24/93,1.106
5/25/93,1.106
5/26/93,1.106
5/27/93,1.106
5/28/93,1.106
5/29/93,1.106
5/30/93,1.106
5/31/93,1.107
6/1/93,1.107
6/2/93,1.107
6/3/93,1.107
6/4/93,1.107
6/5/93,1.107
6/6/93,1.107
6/7/93,1.104
6/8/93,1.104
6/9/93,1.104
6/10/93,1.104
6/11/93,1.104
6/12/93,1.104
6/13/93,1.104
6/14/93,1.101
6/15/93,1.101
6/16/93,1.101
6/17/93,1.101
6/18/93,1.101
6/19/93,1.101
6/20/93,1.101
6/21/93,1.095
6/22/93,1.095
6/23/93,1.095
6/24/93,1.095
6/25/93,1.095
6/26/93,1.095
6/27/93,1.095
6/28/93,1.089
6/29/93,1.089
6/30/93,1.089
7/1/93,1.089
7/2/93,1.089
7/3/93,1.089
7/4/93,1.089
7/5/93,1.086
7/6/93,1.086
7/7/93,1.086
7/8/93,1.086
7/9/93,1.086
7/10/93,1.086
7/11/93,1.086
7/12/93,1.081
7/13/93,1.081
7/14/93,1.081
7/15/93,1.081
7/16/93,1.081
7/17/93,1.081
7/18/93,1.081
7/19/93,1.075
7/20/93,1.075
7/21/93,1.075
7/22/93,1.075
7/23/93,1.075
7/24/93,1.075
7/25/93,1.075
7/26/93,1.069
7/27/93,1.069
7/28/93,1.069
7/29/93,1.069
7/30/93,1.069
7/31/93,1.069
8/1/93,1.069
8/2/93,1.062
8/3/93,1.062
8/4/93,1.062
8/5/93,1.062
8/6/93,1.062
8/7/93,1.062
8/8/93,1.062
8/9/93,1.06
8/10/93,1.06
8/11/93,1.06
8/12/93,1.06
8/13/93,1.06
8/14/93,1.06
8/15/93,1.06
8/16/93,1.059
8/17/93,1.059
8/18/93,1.059
8/19/93,1.059
8/20/93,1.059
8/21/93,1.059
8/22/93,1.059
8/23/93,1.065
8/24/93,1.065
8/25/93,1.065
8/26/93,1.065
8/27/93,1.065
8/28/93,1.065
8/29/93,1.065
8/30/93,1.062
8/31/93,1.062
9/1/93,1.062
9/2/93,1.062
9/3/93,1.062
9/4/93,1.062
9/5/93,1.062
9/6/93,1.055
9/7/93,1.055
9/8/93,1.055
9/9/93,1.055
9/10/93,1.055
9/11/93,1.055
9/12/93,1.055
9/13/93,1.051
9/14/93,1.051
9/15/93,1.051
9/16/93,1.051
9/17/93,1.051
9/18/93,1.051
9/19/93,1.051
9/20/93,1.045
9/21/93,1.045
9/22/93,1.045
9/23/93,1.045
9/24/93,1.045
9/25/93,1.045
9/26/93,1.045
9/27/93,1.047
9/28/93,1.047
9/29/93,1.047
9/30/93,1.047
10/1/93,1.047
10/2/93,1.047
10/3/93,1.047
10/4/93,1.092
10/5/93,1.092
10/6/93,1.092
10/7/93,1.092
10/8/93,1.092
10/9/93,1.092
10/10/93,1.092
10/11/93,1.09
10/12/93,1.09
10/13/93,1.09
10/14/93,1.09
10/15/93,1.09
10/16/93,1.09
10/17/93,1.09
10/18/93,1.093
10/19/93,1.093
10/20/93,1.093
10/21/93,1.093
10/22/93,1.093
10/23/93,1.093
10/24/93,1.093
10/25/93,1.092
10/26/93,1.092
10/27/93,1.092
10/28/93,1.092
10/29/93,1.092
10/30/93,1.092
10/31/93,1.092
11/1/93,1.084
11/2/93,1.084
11/3/93,1.084
11/4/93,1.084
11/5/93,1.084
11/6/93,1.084
11/7/93,1.084
11/8/93,1.075
11/9/93,1.075
11/10/93,1.075
11/11/93,1.075
11/12/93,1.075
11/13/93,1.075
11/14/93,1.075
11/15/93,1.064
11/16/93,1.064
11/17/93,1.064
11/18/93,1.064
11/19/93,1.064
11/20/93,1.064
11/21/93,1.064
11/22/93,1.058
11/23/93,1.058
11/24/93,1.058
11/25/93,1.058
11/26/93,1.058
11/27/93,1.058
11/28/93,1.058
11/29/93,1.051
11/30/93,1.051
12/1/93,1.051
12/2/93,1.051
12/3/93,1.051
